appid,name,genre_category,discount_start,discount_end,discount_pct,duration_days,before_daily_avg,during_daily_avg,after_daily_avg,reaction_rate,sustained_rate,is_seasonal_sale,total_reviews,price_usd,is_multiplayer,days_since_release
105600,Terraria,Action,2026-03-19,2026-03-26,50,6,363.33,429.86,372.57,0.1831,0.0254,False,1409473,9.99,True,5421
252490,Rust,Action,2026-03-19,2026-03-26,50,6,188.33,445.71,469.0,1.3666,1.4903,False,1227784,39.99,True,2961
2358720,Black Myth: Wukong,Action,2026-02-09,2026-02-23,25,13,79.3,202.64,174.07,1.5554,1.1951,False,1150098,59.99,False,539
1245620,ELDEN RING,Action,2026-03-19,2026-03-26,35,7,205.97,299.0,278.14,0.4517,0.3504,False,1056677,59.99,True,1484
553850,HELLDIVERS 2,Action,2026-03-19,2026-03-26,25,6,426.77,392.43,272.43,-0.0805,-0.3616,False,1017635,39.99,True,770
550,Left 4 Dead 2,Action,2026-03-19,2026-03-26,80,6,204.8,296.29,255.0,0.4467,0.2451,False,963983,9.99,True,5967
381210,Dead by Daylight,Action,2026-03-17,2026-03-26,60,9,232.3,352.11,274.14,0.5158,0.1801,False,797216,19.99,True,3563
739630,Phasmophobia,Action,2026-01-17,2026-01-31,30,14,184.13,177.64,166.14,-0.0352,-0.0977,False,768779,19.99,True,1947
739630,Phasmophobia,Action,2026-03-19,2026-03-28,30,8,162.7,155.33,199.21,-0.0453,0.2244,False,768779,19.99,True,2008
413150,Stardew Valley,RPG,2026-03-19,2026-03-26,50,6,313.47,504.71,436.86,0.6101,0.3936,False,886195,14.99,True,3674
1091500,Cyberpunk 2077,RPG,2026-02-12,2026-02-22,55,9,149.57,270.4,249.0,0.8079,0.6648,False,844921,59.99,False,1891
1091500,Cyberpunk 2077,RPG,2026-03-19,2026-03-26,65,7,239.07,325.57,295.57,0.3618,0.2364,False,844921,59.99,False,1926
292030,The Witcher 3: Wild Hunt,RPG,2026-02-12,2026-02-22,80,9,149.43,154.4,136.71,0.0332,-0.0851,False,835349,39.99,False,3923
292030,The Witcher 3: Wild Hunt,RPG,2026-03-19,2026-03-26,80,6,131.93,156.43,138.71,0.1857,0.0514,False,835349,39.99,False,3958
1086940,Baldur's Gate 3,RPG,2026-02-26,2026-03-02,25,4,224.27,206.75,186.36,-0.0781,-0.169,False,760662,59.99,True,938
1086940,Baldur's Gate 3,RPG,2026-03-19,2026-03-26,25,7,198.7,198.43,207.5,-0.0014,0.0443,False,760662,59.99,True,959
218620,PAYDAY 2,RPG,2025-06-05,2025-06-12,67,7,36.5,63.14,57.43,0.7299,0.5734,False,663082,9.99,True,4314
218620,PAYDAY 2,RPG,2025-06-27,2025-07-10,67,13,53.53,55.46,54.0,0.036,0.0087,True,663082,9.99,True,4336
218620,PAYDAY 2,RPG,2025-07-13,2025-07-27,67,13,55.07,55.57,44.07,0.0092,-0.1997,False,663082,9.99,True,4352
218620,PAYDAY 2,RPG,2025-09-25,2025-10-06,70,11,36.97,203.91,59.07,4.516,0.598,False,663082,9.99,True,4426
218620,PAYDAY 2,RPG,2025-11-21,2025-12-05,50,13,35.9,50.07,33.07,0.3947,-0.0788,True,663082,9.99,True,4483
218620,PAYDAY 2,RPG,2025-12-18,2026-01-05,90,17,39.47,142.61,91.21,2.6135,1.3112,True,663082,9.99,True,4510
218620,PAYDAY 2,RPG,2026-01-15,2026-01-29,50,14,119.53,66.14,51.64,-0.4467,-0.568,False,663082,9.99,True,4538
218620,PAYDAY 2,RPG,2026-02-28,2026-03-14,50,13,47.7,48.93,44.21,0.0258,-0.0731,False,663082,9.99,True,4582
218620,PAYDAY 2,RPG,2026-03-19,2026-03-26,50,6,46.13,43.43,39.36,-0.0586,-0.1469,False,663082,9.99,True,4601
892970,Valheim,RPG,2025-12-18,2026-01-05,50,18,191.93,113.22,107.43,-0.4101,-0.4403,True,499828,19.99,True,1780
892970,Valheim,RPG,2026-01-20,2026-02-03,50,13,112.1,134.57,116.36,0.2005,0.038,False,499828,19.99,True,1813
892970,Valheim,RPG,2026-03-05,2026-03-26,50,20,107.3,122.29,102.0,0.1397,-0.0494,False,499828,19.99,True,1857
322330,Don't Starve Together,RPG,2025-12-18,2026-01-05,66,18,265.23,122.5,93.21,-0.5381,-0.6486,True,499061,14.99,True,3528
322330,Don't Starve Together,RPG,2026-02-12,2026-02-19,66,7,74.5,100.43,88.07,0.348,0.1822,False,499061,14.99,True,3584
322330,Don't Starve Together,RPG,2026-03-19,2026-03-26,66,6,79.87,93.57,86.93,0.1716,0.0884,False,499061,14.99,True,3619
377160,Fallout 4,RPG,2025-12-18,2026-01-05,60,17,136.03,146.11,143.79,0.0741,0.057,True,392287,19.99,False,3692
377160,Fallout 4,RPG,2026-01-28,2026-02-06,75,9,142.17,185.89,165.29,0.3075,0.1626,False,392287,19.99,False,3733
377160,Fallout 4,RPG,2026-03-19,2026-03-26,60,6,89.73,70.29,60.43,-0.2167,-0.3266,False,392287,19.99,False,3783
1623730,Palworld,RPG,2025-12-04,2026-01-05,25,32,163.43,140.09,122.79,-0.1428,-0.2487,True,380709,29.99,True,686
1623730,Palworld,RPG,2026-02-12,2026-02-24,25,11,110.7,127.33,95.79,0.1503,-0.1347,False,380709,29.99,True,756
4000,Garry's Mod,Strategy/Simulation,2026-03-19,2026-03-26,50,6,324.6,310.0,302.64,-0.045,-0.0676,False,1159707,9.99,True,7050
227300,Euro Truck Simulator 2,Strategy/Simulation,2026-02-19,2026-02-26,75,6,153.97,420.43,294.43,1.7306,0.9123,False,867404,19.99,True,4878
227300,Euro Truck Simulator 2,Strategy/Simulation,2026-03-19,2026-03-26,75,6,301.37,296.29,274.64,-0.0169,-0.0887,False,867404,19.99,True,4906
242760,The Forest,Strategy/Simulation,2026-03-19,2026-03-26,78,6,101.87,239.14,210.71,1.3476,1.0685,False,627791,19.99,True,2880
108600,Project Zomboid,Strategy/Simulation,2026-03-19,2026-03-26,33,6,213.77,256.71,229.86,0.2009,0.0753,False,377063,19.99,True,4514
251570,7 Days to Die,Strategy/Simulation,2025-08-25,2025-09-08,40,13,61.1,87.21,75.07,0.4274,0.2287,False,370046,44.99,True,396
251570,7 Days to Die,Strategy/Simulation,2025-09-29,2025-10-06,40,6,74.9,79.29,64.14,0.0586,-0.1436,False,370046,44.99,True,431
251570,7 Days to Die,Strategy/Simulation,2025-10-27,2025-11-03,40,7,69.0,66.57,60.29,-0.0352,-0.1263,False,370046,44.99,True,459
